date,dish,feedback,sentiment,rating,votes
2023-06-01,Paneer Butter Masala,paneer was delicious,Positive,4,46
2023-06-01,Biryani,nothing special today,Neutral,3,83
2023-06-01,Khichdi,very tasty and fresh,Positive,5,38
2023-06-01,Rajma Rice,not fresh at all,Negative,2,24
2023-06-01,Poha,could be better,Neutral,3,113
2023-06-02,Chole Bhature,best meal this week,Positive,4,33
2023-06-02,Biryani,best meal this week,Positive,5,54
2023-06-02,Paneer Butter Masala,very tasty and fresh,Positive,5,18
2023-06-02,Curd Rice,food was amazing today!,Positive,4,105
2023-06-02,Khichdi,paneer was delicious,Positive,5,68
2023-06-03,Rajma Rice,could be better,Neutral,3,16
2023-06-03,Paratha,food was amazing today!,Positive,4,44
2023-06-03,Fried Rice,paneer was delicious,Positive,5,87
2023-06-03,Dal Rice,best meal this week,Positive,4,106
2023-06-03,Curd Rice,really enjoyed the food,Positive,5,24
2023-06-04,Dal Rice,best meal this week,Positive,4,38
2023-06-04,Curd Rice,food was amazing today!,Positive,4,36
2023-06-04,Khichdi,excellent quality today,Positive,4,107
2023-06-04,Paneer Butter Masala,really enjoyed the food,Positive,4,10
2023-06-04,Roti Sabzi,paneer was delicious,Positive,4,26
2023-06-05,Chole Bhature,not fresh at all,Negative,1,60
2023-06-05,Biryani,food was too salty,Negative,2,12
2023-06-05,Upma,loved the biryani!,Positive,5,83
2023-06-05,Khichdi,paneer was delicious,Positive,5,47
2023-06-05,Paneer Butter Masala,food was amazing today!,Positive,5,31
2023-06-06,Fried Rice,loved the biryani!,Positive,4,65
2023-06-06,Paneer Butter Masala,could be better,Neutral,3,60
2023-06-06,Roti Sabzi,not fresh at all,Negative,1,52
2023-06-06,Rajma Rice,food was okay,Neutral,3,77
2023-06-06,Poha,really enjoyed the food,Positive,5,103
2023-06-07,Curd Rice,very tasty and fresh,Positive,4,107
2023-06-07,Paratha,food was okay,Neutral,3,108
2023-06-07,Upma,decent meal,Neutral,3,97
2023-06-07,Poha,not fresh at all,Negative,2,29
2023-06-07,Khichdi,great taste today,Positive,5,90
2023-06-08,Dal Rice,best meal this week,Positive,5,67
2023-06-08,Fried Rice,really enjoyed the food,Positive,5,19
2023-06-08,Paneer Butter Masala,food was okay,Neutral,3,69
2023-06-08,Idli Sambar,acceptable quality,Neutral,3,67
2023-06-08,Rajma Rice,tasteless food,Negative,2,87
2023-06-09,Roti Sabzi,really enjoyed the food,Positive,4,74
2023-06-09,Biryani,food was okay,Neutral,3,100
2023-06-09,Paratha,great taste today,Positive,4,56
